Entity,Code,Year,All greenhouse gases
All lifecycle stages,,2015,1664680100
All lifecycle stages,,2016,1676590000
All lifecycle stages,,2017,1702060000
All lifecycle stages,,2018,1746730000
All lifecycle stages,,2019,1788510000
End-of-life,,2015,162060000
End-of-life,,2016,170450000
End-of-life,,2017,179130000
End-of-life,,2018,188100000
End-of-life,,2019,193120000
Production and conversion,,2015,1502620000
Production and conversion,,2016,1506130000
Production and conversion,,2017,1522930000
Production and conversion,,2018,1558630000
Production and conversion,,2019,1595390000